0,idaddr
1,the
2,vaccin
3,a
4,is
5,to
6,it
7,not
8,and
9,httpaddr
10,number
11,of
12,for
13,that
14,in
15,we
16,you
17,thi
18,be
19,are
20,have
21,will
22,ha
23,coronaviru
24,viru
25,i
26,they
27,there
28,but
29,if
30,do
31,or
32,with
33,peopl
34,on
35,as
36,develop
37,get
38,flu
39,mutat
40,about
41,go
42,can
43,no
44,like
45,how
46,would
47,wa
48,an
49,by
50,out
51,say
52,take
53,amp
54,just
55,covid
56,one
57,from
58,us
59,last
60,time
61,good
62,all
63,whi
64,at
65,I
66,when
67,make
68,more
69,he
70,work
71,until
72,know
73,thing
74,am
75,need
76,so
77,now
78,some
79,test
80,month
81,scientist
82,s
83,year
84,think
85,onli
86,who
87,want
88,cure
89,quickli
90,hope
91,should
92,up
93,news
94,come
95,their
96,new
97,mayb
98,treatment
99,corona
100,what
101,may
102,long
103,sinc
104,veri
105,infect
106,other
107,human
108,where
109,trump
110,even
111,health
112,befor
113,your
114,hi
115,avail
116,doe
117,immun
118,world
119,against
120,did
121,ani
122,protect
123,happen
124,bill
125,everyon
126,too
127,stop
128,use
129,diseas
130,which
131,gate
132,back
133,live
134,way
135,could
136,been
137,death
138,look
139,anti
140,still
141,well
142,into
143,trial
144,care
145,spread
146,help
147,effect
148,me
149,away
150,slowli
151,let
152,found
153,covidnumb
154,suggest
155,person
156,rate
157,down
158,line
159,kill
160,my
161,realli
162,question
163,die
164,everi
165,gonna
166,mani
167,see
168,few
169,mandatori
170,wait
171,compani
172,countri
173,real
174,ye
175,plan
176,cannot
177,start
178,offer
179,possibl
180,best
181,china
182,had
183,pandem
184,soon
185,enough
186,call
187,shall
188,isol
189,much
190,creat
191,save
192,give
193,than
194,same
195,these
196,dollar
197,safe
198,dark_skin_ton
199,drug
